cpu_usage,memory_usage,latency,status
20.94659624,214.2510147,2.535229144,1
21.67830265,190.4039292,3.295441469,0
16.07069075,164.1388142,0.532253777,0
23.51507792,203.3879933,3.244446383,0
16.23688706,218.1539545,1.167778831,0
17.57799765,183.7842027,2.13741181,1
21.58483653,233.1571333,0.940814481,0
23.24536958,235.6094233,0.694123241,0
20.22655431,209.0471079,2.695781694,1
19.86406438,171.5845228,2.776950145,1
23.30577172,178.2496051,1.695620705,0
23.92189908,199.2501535,0.892952207,0
21.63748197,196.6604696,0.911179399,0
24.21516647,223.6602778,0.927774664,0
16.13493124,173.8969528,2.363185653,0
16.19458136,239.3585928,2.067095731,0
19.45755799,182.9983015,3.227657115,0
22.03524552,202.6011112,1.042996552,0
19.66418882,191.3697361,2.13249818,0
16.33807093,180.709401,1.664228062,0
22.35474918,237.1845054,3.378898612,0
24.62650416,206.8955763,0.600140028,0
23.64543147,166.5478876,1.477228904,0
15.75117878,190.5226403,0.52419652,0
21.45316542,232.6495917,2.467801459,0
16.81244007,180.1949204,1.873751535,0
24.88241307,174.9433053,2.810363256,0
15.94800609,185.0037482,3.185536726,0
15.3280313,239.7274109,1.365748336,0
23.17819206,181.8982679,1.867417734,0
15.73386699,207.8309888,0.567452986,0
24.00703635,217.5133545,1.449607266,0
19.7892841,219.9857441,1.573214259,0
22.94939263,217.382653,2.228999804,1
24.70531404,235.075329,2.661386255,0
24.73698449,221.6177057,2.030750456,1
20.64804049,197.0271222,2.890841072,0
17.28557191,234.5076553,1.659655891,0
21.17399722,169.5485524,2.524486426,0
24.68064774,232.2562018,0.806075496,0
18.76779643,235.5113923,0.501534584,0
20.13280883,203.6122305,1.683541645,0
24.90064749,228.9300508,0.683867759,0
18.46942873,182.3736723,2.669195482,0
17.9326354,232.016149,0.874025138,0
17.13175918,175.4973166,2.62383224,0
15.46850384,174.8879771,2.74694528,0
17.99051807,188.8384579,1.050081355,0
22.53737344,198.0206451,3.124904619,0
18.13173005,204.5316194,1.744915724,0
22.91267263,189.8587639,0.589940005,0
22.24021917,218.8218676,2.081142402,0
21.05316646,219.647011,3.10457361,0
23.80848379,211.7342537,1.727640788,0
21.58889417,230.3011001,1.271651006,0
24.88585829,205.0929031,2.606587335,1
19.11794945,184.4115874,2.98498919,0
15.79428754,235.4162237,1.286479764,0
23.88559686,178.9332632,1.457034194,0
21.3972741,184.6647707,3.122680229,1
22.19729246,202.8346128,2.410095017,1
17.58375855,237.3763901,3.111477318,0
16.63095152,183.0951686,2.00256136,1
22.10401758,237.4347473,2.102965155,1
20.34576444,228.8435197,2.608678496,1
20.28616926,166.0538578,2.764711696,1
23.95774379,223.2467914,3.323640023,0
19.76756722,228.2976924,2.554896438,0
15.83582001,200.6002581,1.773696742,0
22.83224519,216.3643549,1.172435814,0
15.46318005,213.2671788,1.953577356,0
22.75043082,224.5332652,1.613025921,0
16.45776414,209.6102916,1.044459424,0
15.19379179,230.6152814,1.811283603,0
18.03665858,237.0468643,2.426779023,0
20.16458632,165.9453754,0.560464782,0
20.36959472,219.7706525,0.727842252,0
19.77670128,204.5700152,0.857963687,1
16.86131025,225.3681754,0.604524281,0
18.48441032,181.1463772,2.069614108,0
22.29613029,222.9761096,2.249731697,0
24.81589266,220.1969052,1.627535427,0
16.11207882,179.7374962,2.880022705,0
23.04071964,166.2570614,1.298115547,0
19.68419884,184.9158891,2.158401741,0
15.65819189,219.6032486,1.627099137,0
21.65785477,232.9124533,3.085362013,0
16.42168221,167.1872006,3.445722001,1
16.91160482,168.6553475,1.689569143,0
16.36178694,217.3125234,1.51156587,0
18.18783688,187.6527319,1.255274161,0
23.24622373,198.7969075,2.066210417,0
23.53138237,239.4932283,1.755671922,0
24.76933372,221.4506337,1.674899431,0
19.85993084,229.1016697,0.855096652,0
20.28110854,183.8652504,0.895290355,0
15.9050852,170.4769138,0.927070351,0
15.14379738,171.9311214,3.044020237,0
21.74611796,163.5855343,2.094939579,0
17.9968952,162.1516071,1.669898337,0
18.96966554,219.2418081,1.267407727,0
20.07155278,230.5446507,2.014910481,0
18.36709173,233.2747419,3.417328447,1
21.51967098,204.1656892,2.411864131,0
17.42295806,204.4251023,0.663888641,1
22.05296296,205.5403452,1.059530446,0
16.58861779,236.6034747,1.450122528,0
19.23700556,160.2628114,1.746791542,0
24.23197188,174.4939412,1.858684823,0
24.22492516,223.4196539,0.785715787,0
20.02352668,181.1212403,0.601587269,0
16.79593144,203.9864835,0.99333417,0
16.22493974,181.5962447,2.711551702,0
17.2788525,232.7353939,1.227343265,0
19.22513946,181.7283271,0.596322316,0
23.37402846,163.7171727,1.493254782,0
24.49680085,195.1142754,3.122286086,1
19.05906431,177.033223,2.916155572,0
17.94530481,195.3451565,1.157783726,1
19.54067317,178.9112426,2.980679565,0
23.81896757,184.1199275,3.124188256,0
16.6099304,163.6391798,0.609477354,0
17.60594703,201.5790369,3.034798519,0
24.90164219,176.5181739,0.641280145,0
17.45291106,192.8630845,2.126245497,1
20.94544699,205.6608484,3.316362203,0
19.3649241,224.9733048,2.182415361,1
21.01761042,205.2936773,1.186571796,0
23.75132248,224.6852507,3.081095981,0
23.7682398,228.1316193,1.216554495,0
21.28687129,175.1084475,2.550322423,0
19.23937441,227.8995478,1.846508557,0
16.61490533,182.2252787,3.37594312,0
17.55121689,230.1164934,1.839430404,0
15.32102041,176.2027481,2.499644403,0
15.45061208,184.3792865,1.621521712,0
16.15070924,179.7889642,2.577014708,0
23.85044641,234.4295809,2.871279523,0
22.19222791,195.8843367,1.236042099,1
23.64897884,211.4075577,0.891213207,0
19.22058134,164.0529082,2.0122748,1
21.35001674,218.3501707,2.874395283,0
16.76081275,164.8197605,0.817570088,0
15.04827354,230.2257307,1.521241827,0
15.66143771,237.9390138,2.384102086,0
19.77038058,226.3368314,3.100614005,0
18.3870836,168.8543561,1.926615139,0
23.21679657,186.3673477,1.985194237,0
15.20642568,195.5035223,2.932533966,0
22.94866516,179.3109615,2.346855809,0
16.23354224,206.753658,0.680927789,0
19.8565578,175.584225,0.759684122,0
19.60325048,198.8509259,1.51597953,0
16.21411623,193.7077175,2.042844284,0
24.51998253,189.5331724,1.316138794,0
18.48139839,164.0765624,2.030071449,0
22.84273688,198.6830874,1.639939167,0
21.83125122,186.432348,2.907872283,0
22.5869155,190.4366829,0.69225434,0
21.19323669,187.8012872,2.077021442,0
23.84045208,208.0743386,1.696633194,0
16.36607071,217.3250069,0.893212737,0
18.81172915,185.5239494,1.381310523,0
18.17962134,225.0573725,3.312409483,0
24.38102659,212.2508778,3.381842955,1
24.41564002,167.0119495,2.152875824,0
24.52217577,179.1736112,3.132101243,0
22.52749556,174.640011,1.87264978,0
22.80656308,165.9271068,1.966684578,0
21.11959936,233.5761433,3.019804248,1
16.65105069,225.1192263,1.501911969,0
17.40081641,210.5505547,3.105173105,0
20.29943929,195.2774896,1.187914203,0
17.85604594,213.4795595,2.678007827,0
24.05875826,222.6254112,1.865080363,0
22.04677723,192.1445227,1.165956095,0
24.376935,169.4240365,1.404036658,0
23.29150657,212.2406034,0.579664937,0
23.0678692,195.5130285,2.141273414,0
17.89940538,182.4009103,3.471693991,1
21.65545095,184.5586325,3.476617703,0
17.24476332,165.5612727,2.730630115,0
20.7535848,161.1555453,1.671826721,0
21.03846018,171.3037609,2.876842295,0
18.92865394,196.1453572,1.687979739,0
20.47732101,169.365412,2.116298826,0
23.18838639,180.2741094,2.7072206,1
15.94412393,210.3029436,2.135409113,0
17.56280179,196.4636106,2.486433039,0
20.57593398,191.6635813,2.37340851,1
17.07821997,174.4389803,3.427710787,0
20.92853077,205.8011971,0.666184363,0
20.23168515,180.3942938,1.669107474,0
24.78142028,204.9623161,2.883197516,0
22.21234278,198.4908861,2.284568246,0
16.60665868,160.0345862,0.649665314,0
15.56854603,225.7311566,3.059003503,1
15.94629371,216.5707507,0.716478529,0
19.87548079,206.3845687,3.184431845,0
24.30397448,235.76824,1.065172368,0
19.21828762,230.2177655,2.473597777,0
22.60988851,192.5167031,1.546918009,0
23.1914835,176.2888739,1.41665894,0
19.32864631,175.0227286,1.860814824,0
17.47298834,232.6738841,0.686068035,0
24.85615346,197.0903556,2.522520349,0
22.09557226,186.3427469,3.14497125,0
20.01754035,170.4455648,2.608216406,0
18.16071621,205.8971833,3.371746384,0
17.72730235,218.7677976,2.612502025,0
16.30694951,228.3243565,0.703902451,0
19.74241662,164.2750592,2.24540219,0
18.16343478,238.4410182,0.771044655,0
16.3454966,227.1007239,1.423399864,0
21.31223115,232.2264983,2.799395235,1
22.9027925,169.8711202,2.443835597,0
22.25761875,218.9757683,1.095713202,0
23.1670099,217.5190974,3.40848061,0
24.15329171,211.967124,2.306648667,0
16.99746162,160.1361514,3.441256976,0
17.45309381,183.7941856,1.794768325,0
15.25387248,167.7727627,1.018028996,0
18.80551316,166.9408353,2.8829716,0
19.12955931,224.9408708,3.266538144,0
16.90466351,215.9072578,0.920090267,0
19.96754582,208.0878635,0.657215905,0
18.78467055,232.2682009,2.997769191,0
17.36968368,171.9799143,3.465883549,1
22.11003242,207.0611435,3.161620082,1
22.49783469,207.9805615,3.05480972,0
17.76479416,172.0289811,1.20343611,0
23.03627429,194.1455354,3.197250855,0
22.55775127,211.1064181,1.94521987,0
24.6838329,162.6065222,3.166294876,0
17.16340193,185.0975013,2.937988503,1
18.77491799,223.0124712,3.212733701,0
18.55747886,191.1800551,3.121567063,1
15.69011654,225.3975799,0.916646436,0
24.56695816,196.2102811,0.688613951,0
21.6614841,192.1909503,1.724610288,0
20.22376058,218.8331269,3.272149791,0
24.42642273,192.4434397,2.274388795,0
22.21838151,205.2270973,1.04079662,0
22.51561477,198.2893849,1.796486696,0
24.0457118,183.8836121,0.547723523,0
16.45892348,233.2440468,1.023786507,0
